"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"FBgn0034214","FBgn0034214",0.957839935218328,1,-78.5815465571931,-79.3438746976359,13,7,447.595599877581,0,0,0,FALSE
"FBgn0034215","FBgn0034215",0.856511765516973,1,-107.16213525088,-108.464741983856,13,7,2098.89775985027,0,0,0,FALSE
"FBgn0034217","FBgn0034217",0.688756084471006,1,-74.7342743220486,-76.6896381549968,13,7,155.12828357266,0,0,0,FALSE
"FBgn0034218","FBgn0034218",0.949395166126463,1,-53.2115590565346,-54.0333367643791,13,7,30.914524832304,0,0,0,FALSE
"FBgn0034219","FBgn0034219",0.99591769540806,1,-81.4552991134907,-81.7692278659385,13,7,619.734053237491,0,0,0,FALSE
"FBgn0034221","FBgn0034221",0.0306106783140754,0.220721590335735,-67.1218481936638,-74.0788936053271,13,7,128.606633756291,0,0,0,FALSE
"FBgn0034223","FBgn0034223",0.453317461328854,1,-75.6890043913392,-78.5573735214885,13,7,346.379051845569,0,0,0,FALSE
"FBgn0034229","FBgn0034229",0.103115458738933,0.531832695661613,-153.560695148189,-158.838575204825,13,7,29327.9238958915,0,0,0,FALSE
"FBgn0034230","FBgn0034230",0.941210306156291,1,-86.6941486622632,-87.5690607556058,13,7,970.989727232893,0,0,0,FALSE
"FBgn0034231","FBgn0034231",0.196768426677408,0.808731517101189,-75.3744356588901,-79.6791151246007,13,7,328.258159741495,0,0,0,FALSE
"FBgn0034232","FBgn0034232",0.617546307267397,1,-70.2190635118944,-72.4383520784581,13,7,209.235064237646,0,0,0,FALSE
"FBgn0034237","FBgn0034237",0.778175408333661,1,-132.211578990827,-133.831586138787,13,7,16696.3122423517,0,0,0,FALSE
"FBgn0034240","FBgn0034240",0.0837151044914269,0.460870154197238,-94.3451775798546,-99.9224630490702,13,7,1061.8535719243,0,0,0,FALSE
"FBgn0034242","FBgn0034242",0.042696854991264,0.281887817276129,-103.867707053076,-110.37842336259,13,7,1933.72215941045,0,0,0,FALSE
"FBgn0034243","FBgn0034243",0.665618435901211,1,-106.153925443379,-108.194785088273,13,7,2327.5893451083,0,0,0,FALSE
"FBgn0034245","FBgn0034245",0.209467272315169,0.834472322682591,-107.630497900514,-111.836334042117,13,7,1975.19812119995,0,0,0,FALSE
"FBgn0034246","FBgn0034246",0.586251371477322,1,-101.695926186667,-104.03292655663,13,7,2171.37868884891,0,0,0,FALSE
"FBgn0034247","FBgn0034247",0.417066829707127,1,-143.797282742877,-146.824739607689,13,7,7334.06587771747,0,0,0,FALSE
"FBgn0034248","FBgn0034248",0.9826118339446,1,-70.734138784936,-71.2716016209886,13,7,183.990017438626,0,0,0,FALSE
"FBgn0034249","FBgn0034249",8.48122857536442e-05,0.00408119050655766,-67.4844519314611,-81.6025221052706,13,7,101.32768003061,0,0,0,FALSE
"FBgn0034251","FBgn0034251",0.00259543129770122,0.0363438244617102,-105.361015610236,-115.440103625737,13,7,899.787018968698,0,0,0,FALSE
"FBgn0034253","FBgn0034253",0.75192012296032,1,-74.2680332241827,-75.9880877604915,13,7,235.752348030771,0,0,0,FALSE
"FBgn0034255","FBgn0034255",0.812896891358427,1,-55.46512798235,-56.9489494855711,13,7,22.4111785719747,0,0,0,FALSE
"FBgn0034258","FBgn0034258",0.60478665293474,1,-136.462037854419,-138.729118675304,13,7,20087.9014281611,0,0,0,FALSE
"FBgn0034259","FBgn0034259",0.0481792830793082,0.309901011005766,-86.8441686772727,-93.1906494163446,13,7,884.54587355612,0,0,0,FALSE
"FBgn0034261","FBgn0034261",0.920456572830146,1,-100.130568962658,-101.126439673803,13,7,1051.03847894053,0,0,0,FALSE
"FBgn0034262","FBgn0034262",0.338221998069041,1,-98.1555981312046,-101.563479815801,13,7,742.660467487985,0,0,0,FALSE
"FBgn0034263","FBgn0034263",0.0115000976253691,0.105874994771889,-111.477437492769,-119.705961799289,13,7,1888.69008702701,0,0,0,FALSE
"FBgn0034264","FBgn0034264",0.970339316862534,1,-60.8640325136999,-61.5258424483812,13,7,56.4602926084768,0,0,0,FALSE
"FBgn0034265","FBgn0034265",0.955474013771112,1,-78.7340338692599,-79.5135732778093,13,7,437.648072069422,0,0,0,FALSE
"FBgn0034267","FBgn0034267",0.99998966861229,1,-64.8790556296182,-64.9190291465048,13,7,73.0761043774115,0,0,0,FALSE
"FBgn0034269","FBgn0034269",0.974281233545007,1,-89.8417061248135,-90.4672972235063,13,7,1213.69115880799,0,0,0,FALSE
"FBgn0034270","FBgn0034270",0.999988412496971,1,-67.4764387858013,-67.5179870984756,13,7,120.838548329873,0,0,0,FALSE
"FBgn0034271","FBgn0034271",0.981126565217363,1,-84.1643133632878,-84.7189750911049,13,7,507.553834210918,0,0,0,FALSE
"FBgn0034274","FBgn0034274",0.00145241786715307,0.0252702091469392,-86.7308592366215,-97.5125011971595,13,7,228.050931329772,0,0,0,FALSE
"FBgn0034275","FBgn0034275",0.998876996949743,1,-108.594808349553,-108.793241363095,13,7,1251.09406023724,0,0,0,FALSE
"FBgn0034276","FBgn0034276",0.388663597806984,1,-97.9156385328339,-101.073990133853,13,7,622.868183832235,0,0,0,FALSE
"FBgn0034277","FBgn0034277",0.393401450393237,1,-109.963340222366,-113.099429100972,13,7,3818.37701398583,0,0,0,FALSE
